replace value	original value
6207647	56240059
14151406	1618490480
20341000	1066731273
50598816	1990580735
50598816	1158886377
61074682	211291834
71391812	1561343021
106681051	10147917
141193288	1107529369
158026207	1603493162
177222591	1090782821
197015938	18289483
197015938	12686719
227868049	1993747593
233808319	1306403373
233808319	206662397
241368800	1162442950
297815144	1047069188
302335396	137419115
317649914	232604217
317649914	1045029254
336624318	1601081049
374551821	1665993943
410587968	889840843
460585048	1617111112
472178625	1770385395
505985493	1087657546
524078699	1143679426
533006571	279554955
577141794	1687649505
585998528	1138585045
611291274	94354403
645902484	1958725013
662065539	41542096
678143061	1918348604
742584341	1577956862
762698347	1963004848
790844663	1208431449
806001973	1429075408
840796722	70126725
840796722	79137189
844217507	1598899672
851129074	301893235
871471641	1096059552
880076073	237610694
888307394	1759252663
893951188	1040346717
898306671	1746736937
934053150	1959877366
943839344	12201210
950252819	82795062
1036141820	15677057
1049049928	1079276333
1053671717	1836849252
1060009631	1392684145
1153382700	19509911
1161286119	1231597528
1178815057	17263766
1195162119	13230422
1200370072	1390648421
1230520579	255591048
1273735830	1732932580
1296117244	1924381028
1306006707	1973112202
1311189528	1226264928
1316494206	1874306693
1340635172	276555552
1398155518	271326345
1410858923	1374149889
1410858923	1707621265
1415325980	17121667
1424025072	1757540517
1424025072	414401335
1430553838	99584833
1455031670	13510949
1460898073	281651574
1476711545	1804249790
1511473830	1838209115
1516201191	214283476
1522639074	12884522
1528059571	805038358
1549469552	213942859
1570308554	1687511674
1572431610	239354963
1595104244	1446196772
1604440333	293518836
1699669436	1494994643
1705159454	1071136620
1724217646	1840495724
1739684757	29308192
1744525314	1356357923
1797596551	364070105
1826165110	86398128
1845643468	1600765656
1845805447	1491669934
1874661190	1642798796
1930856240	1092863544
1939586509	277947508
1978690316	241163431
1979374141	1344842669
1996729554	17091069
2001119789	287345730
2007192105	1516059399
2033627413	1182385164
2081322766	1932141665
2103859596	754239222
2130056412	1608638957


update  `dmn01-rsksoi-bld-01-2017.dmn01_rsksoi_euwe2_rsk_csp_cus_view.source_identifier_view` set external_reference = '6207647' where external_reference = '56240059' and external_sys_id = 99999 
